game_id,name,platform,year,genre,publisher,rating,critic_score,user_score,na_sales,eu_sales,jp_sales,other_sales,global_sales,na_population,eu_population,jp_population,other_population,cluster_id
1,Weii Sports,Weii,2006,Sports,Ninti,E,7.5,7.9,41510000.0,29297000.0,3795000.0,8506000.0,83108000.0,441042795.0,766795552.0,127854000.0,67886698528.0,0
2,New Super Marrison Bros.,DS,2006,Platform,Ninti,E,8.7,8.6,11491000.0,9165000.0,6475000.0,2827000.0,29958000.0,441042795.0,766795552.0,127854000.0,67886698528.0,2
3,Weii Play,Weii,2006,Misc,Ninti,E,5.7,6.7,13847000.0,9192000.0,2929000.0,2829000.0,28797000.0,441042795.0,766795552.0,127854000.0,67886698528.0,2
4,The Legend of Zelda: Twilight Princess,Weii,2006,Action,Ninti,T,9.5,9.2,3699000.0,2099000.0,593000.0,682000.0,7073000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
5,Gears of War,X360,2006,Shooter,Microsoft Game Studios,M,9.6,8.3,3517000.0,1908000.0,69000.0,604000.0,6098000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
6,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,T,9.2,7.5,1876000.0,0.0,2322000.0,1731000.0,5929000.0,441042795.0,766795552.0,127854000.0,67886698528.0,1
7,Cooking Mama,DS,2006,Simulation,505 Games,E,6.7,7.3,3017000.0,1896000.0,71000.0,576000.0,5560000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
8,Grand Steal Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,M,8.6,7.9,1689000.0,2019000.0,158000.0,1198000.0,5064000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
9,Madden NFL 07,PS2,2006,Sports,Electronic Arts,E,8.5,8.1,3670000.0,244000.0,10000.0,599000.0,4523000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
10,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,E,8.6,8.9,100000.0,2352000.0,1048000.0,870000.0,4370000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
11,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,M,9.5,8.8,2773000.0,1018000.0,132000.0,400000.0,4323000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
12,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,M,8.6,8.0,1713000.0,1710000.0,142000.0,759000.0,4324000.0,441042795.0,766795552.0,127854000.0,67886698528.0,3
